,Event,Wedding,Performance or concert,Dancing people,Funeral,Traffic accident,Fire,Police or army (armed forces),Procession,Marketplace,Hunting scene,Fishing,Portrait,Studio portrait,Double portrait,Group portrait,Aerial photograph,Interior view,Classroom (interior),Factory (interior),Religious structure (interior),Healthcare facility (interior),Built environment,Street or road,Square (open space),Bridge,Park (recreation area),Burial ground,Swimming pool,Sports field,Tennis court,Foutball pitch,Military base,Fort,Military field base,Religious structure,Mosque,Church,Temple,Temple Reliefs,House or building (other),School building,Store,Healthcare facility,Stilt house,Palace,Ruin,Industry and transport,Port or shipyard,Airport,Railroad,Factory or power station,Mine (industrial complex),Agricultural land,Husbandry,Plantation,Rice field,Natural landscape,Mountain,Rocks (landform),Cave,Coast (coastline),Volcano,Volcanic eruption,Wood (plant community),Grassland (plant community),Valley (landform),Expanse of water,Bodies of water (sea or lake),Bay,River,Canal,Waterfall,Flood
1000090.jpg,-20.061,-16.512,-19.375,-16.881,-19.419,-16.309,-12.207,-15.566,-16.395,-16.697,-11.428,-13.907,-21.485,-17.806,-17.711,-22.131,-11.87,-10.964,-14.355,-17.533,-15.484,-21.688,-10.643,-12.069,-11.213,-15.026,-9.658,-11.114,-12.983,-12.177,-15.044,-11.88,-12.07,-12.733,-15.332,-14.034,-13.655,-14.767,-11.32,-12.464,-8.022,-12.287,-16.667,-21.273,-6.104,-14.218,-14.835,-12.977,-17.91,-16.918,-14.213,-17.244,-19.856,-9.676,-11.344,-5.215,-9.41,-7.787,-13.054,-12.596,-14.768,-6.519,-12.701,-12.746,-7.101,-14.673,-14.181,-10.745,-10.88,-12.579,-12.001,-13.349,-13.303,-9.554
10001.jpg,-19.598,-14.037,-18.271,-18.959,-14.691,-18.946,-12.285,-18.163,-13.7,-19.081,-13.393,-17.256,-24.041,-17.928,-15.114,-20.72,-14.472,-11.039,-17.97,-19.411,-9.5,-23.506,-12.725,-18.588,-14.322,-12.556,-13.114,-11.547,-12.646,-15.935,-16.945,-16.51,-17.648,-10.383,-20.985,-6.593,-9.809,-13.16,-3.295,-2.606,-9.122,-13.833,-18.54,-21.153,-11.422,-8.715,-9.849,-13.493,-22.792,-19.879,-17.373,-19.404,-19.717,-17.186,-15.29,-11.417,-12.842,-13.372,-13.227,-13.475,-14.672,-15.086,-11.988,-13.191,-13.949,-19.462,-17.075,-14.787,-16.439,-17.549,-14.265,-16.256,-12.969,-12.973
1000174.jpg,-16.738,-13.448,-13.414,-8.682,-12.873,-15.465,-8.936,-11.936,-10.752,-16.798,-5.045,-11.371,-16.75,-12.076,-11.034,-9.822,-15.709,-12.609,-15.768,-18.336,-16.709,-22.998,-15.598,-16.771,-12.845,-16.215,-15.17,-12.932,-15.635,-14.079,-18.763,-14.303,-15.994,-13.225,-17.148,-13.02,-16.977,-17.031,-12.833,-13.339,-14.964,-18.124,-20.516,-22.367,-15.716,-15.938,-17.147,-14.211,-23.239,-18.786,-17.108,-21.375,-22.166,-15.571,-8.855,-9.021,-14.317,-14.26,-12.874,-14.175,-12.589,-13.777,-11.666,-12.357,-9.71,-14.337,-17.128,-12.813,-11.776,-16.48,-12.014,-17.594,-13.38,-12.407
1000221.jpg,-19.816,-15.981,-18.969,-13.825,-17.815,-15.983,-13.585,-15.247,-11.744,-23.153,-11.382,-8.968,-21.964,-17.899,-17.279,-18.971,-9.41,-13.388,-16.886,-19.817,-19.005,-25.068,-14.419,-17.429,-14.654,-9.811,-8.785,-13.227,-9.155,-10.519,-16.324,-12.708,-16.384,-15.284,-17.313,-15.981,-17.869,-20.445,-14.773,-14.909,-13.659,-15.212,-22.815,-24.012,-7.865,-18.427,-18.503,-12.908,-19.278,-20.1,-14.819,-18.118,-21.092,-14.821,-14.09,-9.145,-11.981,-10.291,-14.147,-13.718,-17.477,-11.829,-13.879,-14.234,-10.422,-17.741,-14.802,-5.866,-5.786,-13.401,-5.394,-9.966,-13.28,-7.598
1000263.jpg,-17.574,-15.408,-17.993,-16.992,-16.993,-15.903,-12.725,-13.545,-13.829,-16.474,-13.902,-11.625,-20.952,-16.67,-16.207,-19.342,-7.055,-12.088,-17.542,-17.945,-15.857,-21.941,-11.43,-14.041,-12.258,-12.614,-8.3,-12.3,-11.707,-13.324,-17.23,-13.781,-11.697,-11.0,-15.609,-14.909,-13.873,-16.225,-12.753,-12.378,-8.459,-14.343,-18.811,-20.78,-8.533,-14.219,-15.464,-10.684,-13.757,-15.236,-14.258,-16.797,-16.503,-12.943,-13.838,-9.33,-12.004,-9.663,-11.335,-11.489,-16.623,-5.859,-11.487,-11.856,-12.311,-16.616,-13.255,-4.443,-4.74,-5.486,-7.101,-11.111,-12.933,-7.261
1000349.jpg,-21.496,-12.825,-20.146,-15.006,-18.212,-16.861,-13.318,-17.723,-16.802,-21.573,-15.176,-13.35,-19.147,-10.75,-9.955,-18.957,-22.056,-12.508,-14.896,-13.877,-17.568,-20.203,-18.046,-18.477,-15.462,-16.741,-17.91,-18.682,-14.288,-15.945,-15.527,-15.481,-23.237,-19.774,-24.592,-16.119,-18.662,-21.162,-16.715,-16.344,-12.728,-17.416,-21.647,-20.917,-16.111,-21.822,-25.937,-15.581,-25.177,-23.339,-18.354,-19.874,-27.538,-18.762,-11.585,-11.904,-15.53,-18.952,-19.157,-20.317,-19.857,-18.235,-17.163,-17.042,-16.286,-23.578,-21.908,-16.365,-16.739,-24.507,-16.686,-19.526,-14.642,-15.221
1000447.jpg,-20.698,-16.142,-19.517,-19.016,-18.456,-15.328,-10.703,-15.4,-13.823,-23.199,-11.609,-11.533,-23.109,-19.052,-16.278,-25.114,-7.633,-12.826,-19.104,-18.914,-19.239,-24.564,-13.103,-14.808,-14.457,-11.669,-10.088,-12.895,-11.936,-12.741,-17.336,-13.232,-15.594,-11.643,-17.684,-17.712,-15.542,-19.223,-13.564,-13.01,-13.013,-18.014,-21.578,-23.896,-13.824,-17.017,-16.016,-9.508,-14.522,-19.612,-13.95,-15.7,-15.39,-12.615,-13.518,-7.129,-11.026,-5.922,-7.134,-8.806,-15.212,-6.411,-9.516,-9.241,-10.973,-15.868,-8.265,-3.571,-4.165,-6.529,-3.005,-8.759,-9.471,-5.279
1000480.jpg,-20.487,-15.397,-20.139,-16.471,-16.48,-18.848,-13.737,-16.329,-17.32,-18.008,-12.594,-15.839,-22.374,-16.174,-15.12,-21.813,-17.705,-9.783,-13.952,-17.118,-12.513,-19.728,-10.6,-16.183,-12.499,-16.064,-12.353,-12.741,-13.569,-14.892,-15.914,-15.764,-17.334,-14.279,-19.735,-11.612,-12.078,-13.87,-10.514,-13.303,-5.638,-10.204,-15.35,-18.846,-4.001,-14.938,-15.962,-14.271,-24.415,-20.337,-16.017,-17.132,-19.529,-13.683,-10.951,-9.479,-10.644,-11.135,-10.235,-13.961,-14.534,-14.367,-13.422,-13.788,-11.434,-16.302,-13.78,-14.495,-15.706,-18.779,-13.713,-17.033,-12.585,-12.364
1000486.jpg,-22.273,-14.098,-19.731,-13.261,-15.9,-18.262,-11.048,-16.234,-14.102,-17.624,-9.302,-13.504,-17.296,-13.243,-11.214,-15.689,-17.143,-12.872,-15.54,-18.12,-16.253,-23.568,-12.412,-17.563,-15.257,-16.549,-14.566,-11.52,-12.373,-13.547,-16.505,-15.316,-17.857,-15.785,-18.618,-12.599,-16.255,-17.609,-13.138,-14.809,-8.172,-13.908,-17.34,-22.684,-5.911,-18.174,-18.044,-14.821,-26.017,-22.561,-17.589,-17.838,-24.355,-10.288,-6.928,-6.651,-9.298,-12.593,-12.854,-14.116,-14.098,-12.968,-12.326,-12.943,-8.353,-13.82,-14.647,-12.734,-12.312,-18.841,-13.061,-17.394,-10.668,-10.83
1000489.jpg,-19.869,-13.961,-19.753,-13.751,-14.472,-16.91,-11.703,-14.053,-13.098,-15.32,-8.675,-13.873,-21.188,-16.018,-14.148,-16.11,-12.6,-10.932,-13.937,-15.296,-14.052,-20.282,-8.732,-13.347,-10.704,-14.403,-10.435,-8.184,-13.45,-11.36,-15.35,-13.272,-12.124,-11.389,-14.295,-11.677,-12.12,-13.216,-9.37,-11.745,-7.125,-10.022,-15.008,-18.754,-4.144,-13.876,-14.215,-12.942,-21.573,-19.314,-13.778,-15.794,-17.499,-9.316,-7.772,-3.082,-8.383,-8.255,-10.299,-12.112,-13.701,-12.606,-11.906,-12.857,-6.647,-11.384,-11.524,-12.327,-12.843,-16.323,-10.088,-13.495,-11.189,-9.527
